Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	upper lid raiser	lid tightener	head up/down	head forward/back	head left/right	head tilt left/right	torso forward/back	torso left/right	torso up/down	torso tilt left/right	brow raise	closed eyes	brow lowerer	head nod	TORSO UP/DOWN FUNCTIONS M	TORSO FORWARD/BACK FUNCTIONS M	TORSO LEFT/RIGHT FUNCTIONS M	TORSO TILT left/right FUNCTIONS M	HEAD NOD FUNCTIONS M	HEAD UP/DOWN FUNCTIONS M	HEAD FORWARD/BACK FUNCTIONS M	HEAD LEFT/RIGHT FUNCTIONS M	HEAD TILT LEFT/RIGHT FUNCTIONS M	BROW RAISE FUNCTIONS M	BROW LOWERER FUNCTIONS M	CLOSED EYES FUNCTIONS M	UPPER LID RAISER FUNCTIONS M	LID TIGHTENER FUNCTIONS M	
00:01:02.929	62.929	00:01:03.362	63.362	00:00:00.433	0.433			down		left	right	forward	left x								COORDINATION	AGREEMENT WITH SPACE			COMMENT+ LISTING		AGREEMENT WITH SPACE	NF					
00:01:10.338	70.338	00:01:10.898	70.898	00:00:00.560	0.56						right		left x									AGREEMENT WITH SPACE						manner					
00:01:10.926	70.926	00:01:11.286	71.286	00:00:00.360	0.36						left	back	left x								COORDINATION	AGREEMENT WITH SPACE						EASE OF PRODUCTION					
00:01:12.685	72.685	00:01:14.368	74.368	00:00:01.683	1.683						right																	AGREEMENT WITH SPACE					
00:01:14.400	74.4	00:01:18.169	78.169	00:00:03.769	3.769						left																	RS					
00:01:18.185	78.185	00:01:19.175	79.175	00:00:00.990	0.99						right																	RS-narrator					
00:01:19.176	79.176	00:01:19.696	79.696	00:00:00.520	0.52						left							b										AGREEMENT WITH SPACE		EMPHASIS			
00:01:22.720	82.72	00:01:26.040	86.04	00:00:03.320	3.32						right																	AGREEMENT WITH SPACE					
00:01:26.063	86.063	00:01:26.463	86.463	00:00:00.400	0.4						left		right			c		b				CONTRAST						NF	CONTRAST	AFFECTIVE			
00:01:26.661	86.661	00:01:30.853	90.853	00:00:04.192	4.192						left																	AGREEMENT WITH SPACE					
00:01:30.856	90.856	00:01:35.375	95.375	00:00:04.519	4.519						right																	coordination/contrast					
00:01:35.393	95.393	00:01:36.913	96.913	00:00:01.520	1.52						left					b												GESTURAL	COGNITIVE				
00:01:36.932	96.932	00:01:37.212	97.212	00:00:00.280	0.28						right					b												NF	COGNITIVE				
00:01:39.045	99.045	00:01:39.965	99.965	00:00:00.920	0.92			up			right														RELATIVE CLAUSE			NF					
00:01:40.989	100.989	00:01:48.319	108.319	00:00:07.330	7.33						left				left								AGREEMENT WITH SPACE+CONTRAST					CONTRAST					
